date_local,daily_avg,n_obs,n_sites
1991-06-02,0.0437082,5,3
1991-06-03,0.029311,6,4
1991-06-04,0.0343055,6,4
1991-06-05,0.028895833333333332,6,4
1991-06-06,0.025222166666666667,6,4
1991-06-07,0.02272216666666667,6,4
1991-06-08,0.036236166666666667,6,4
1991-06-09,0.03282,6,4
1991-06-10,0.030383200000000003,5,3
1991-06-11,0.0422748,5,3
1991-06-12,0.0408082,5,3
1991-06-13,0.030375,5,3
1991-06-14,0.027833399999999998,5,3
1991-06-15,0.0377834,5,3
1991-06-16,0.0328916,5,3
1991-06-17,0.026375199999999998,5,3
1991-06-18,0.037825,5,3
1991-06-19,0.0260164,5,3
1991-06-20,0.034875,5,3
1991-06-21,0.021729166666666667,6,4
1991-06-22,0.035041833333333335,6,4
1991-06-23,0.041368,6,4
1991-06-24,0.03389583333333333,6,4
1991-06-25,0.0224585,6,4
1991-06-26,0.030205666666666665,6,4
1991-06-27,0.036632,6,4
1991-06-28,0.036520833333333336,6,4
1991-06-29,0.033257,6,4
1991-06-30,0.035541666666666666,6,4
1991-07-01,0.03720833333333333,6,4
1991-07-02,0.04224616666666667,6,4
1991-07-03,0.03754316666666666,6,4
1991-07-04,0.034479166666666665,6,4
1991-07-05,0.026326333333333334,6,4
1991-07-06,0.027639,6,4
1991-07-07,0.03365283333333333,6,4
1991-07-08,0.029841666666666666,6,4
1991-07-09,0.026875,6,4
1991-07-10,0.026340166666666668,6,4
1991-07-11,0.027959333333333333,6,4
1991-07-12,0.02945,5,4
1991-07-13,0.0410916,5,4
1991-07-14,0.0469834,5,4
1991-07-15,0.0379416,5,4
1991-07-16,0.0369584,5,4
1991-07-17,0.043222333333333335,6,4
1991-07-18,0.033889,6,4
1991-07-19,0.027271,6,4
1991-07-20,0.027333333333333334,6,4
1991-07-21,0.030652833333333334,6,4
1991-07-22,0.027851,6,4
1991-07-23,0.0249615,6,4
1991-07-24,0.0140625,6,4
1991-07-25,0.023559666666666666,6,4
1991-07-26,0.023627333333333334,6,4
1991-07-27,0.035805500000000004,6,4
1991-07-28,0.04076383333333333,6,4
1991-07-29,0.034222333333333334,6,4
1991-07-30,0.028444666666666667,6,4
1991-07-31,0.041722166666666664,6,4
1991-08-01,0.029666666666666668,6,4
1991-08-02,0.029111,6,4
1991-08-03,0.0180625,6,4
1991-08-04,0.035722166666666666,6,4
1991-08-05,0.03059716666666667,6,4
1991-08-06,0.020715333333333332,6,4
1991-08-07,0.022021,6,4
1991-08-08,0.02720816666666667,6,4
1991-08-09,0.028308166666666666,6,4
1991-08-10,0.03384033333333333,6,4
1991-08-11,0.0325415,6,4
1991-08-12,0.0205555,6,4
1991-08-13,0.021889,6,4
1991-08-14,0.028161833333333334,6,4
1991-08-15,0.022006833333333333,6,4
